subject	locus	est_counts	tpm
ERR188024	HLA-DRB1	14952.61	964.89
ERR188024	HLA-DRB5	3671.36	213.835
ERR188024	HLA-E	17737.4842	467.09989
ERR188024	HLA-F	4860.06812	360.481411
ERR188024	HLA-G	56.047669469	3.3899835463000003
ERR188026	HLA-A	34231.91225	2394.758262
ERR188026	HLA-B	40423.210680000004	2992.119534
ERR188026	HLA-C	22071.88737	1879.149199
ERR188026	HLA-DMA	2773.85362	200.092951
ERR188026	HLA-DMB	1791.1067	106.46091
ERR188026	HLA-DOA	1477.00183	37.145039999999995
ERR188026	HLA-DOB	299.81440000000003	18.9798
ERR188026	HLA-DPA1	10020.0004913	499.8087597
ERR188026	HLA-DPB1	4541.19124	316.071631
ERR188026	HLA-DQA1	10807.8008	772.44071
ERR188026	HLA-DQB1	6035.8638	493.199352
ERR188026	HLA-DRA	23883.986	1619.1507
ERR188026	HLA-DRB1	17549.888	1269.5161
ERR188026	HLA-DRB5	2672.78	180.641
ERR188026	HLA-E	16910.7348	571.1163200000001
ERR188026	HLA-F	3418.7856	478.272811
ERR188026	HLA-G	167.20064	14.147728
ERR188027	HLA-A	62393.98616	1737.101832
ERR188027	HLA-B	95216.5568	2835.98598
ERR188027	HLA-C	46379.61391	1386.475615
ERR188027	HLA-DMA	5152.94232	209.863849
ERR188027	HLA-DMB	3280.105	98.07155999999999
ERR188027	HLA-DOA	3275.99585	50.073369
ERR188027	HLA-DOB	1323.00402	49.543449
ERR188027	HLA-DPA1	26126.035099999997	748.11278
ERR188027	HLA-DPB1	15528.49049	529.657289
ERR188027	HLA-DQA1	14463.1237	549.8718700000001
ERR188027	HLA-DQB1	7688.2554	462.808267
ERR188027	HLA-DRA	81600.986	3210.8682999999996
ERR188027	HLA-DRB1	40116.2	1558.723
ERR188027	HLA-DRB5	4649.25	168.819
ERR188027	HLA-E	15769.630500000001	264.98986
ERR188027	HLA-F	6489.64016	316.425837
ERR188027	HLA-G	40.05521	1.340291
ERR188028	HLA-A	31240.49789	1557.8843904999999
ERR188028	HLA-B	43169.611699999994	2335.29153
ERR188028	HLA-C	19886.155489999997	1070.23307
ERR188028	HLA-DMA	1909.9978999999998	140.65547
ERR188028	HLA-DMB	1405.99991	75.228515
ERR188028	HLA-DOA	1639.99983	47.19181
ERR188028	HLA-DOB	219.0668	14.143980000000001
ERR188028	HLA-DPA1	9610.0054	503.12606
ERR188028	HLA-DPB1	3685.30987	220.233228
ERR188028	HLA-DQA1	4121.0879	302.26098
ERR188028	HLA-DQB1	2803.159	213.587739
ERR188028	HLA-DRA	27098.0335	1870.0716400000001
ERR188028	HLA-DRB1	6879.26	524.918
ERR188028	HLA-DRB5	2051.77	134.703
ERR188028	HLA-E	11193.4316	336.83768
ERR188028	HLA-F	3096.09971	272.731095
ERR188028	HLA-G	19.27807	1.1948889999999999
ERR188029	HLA-A	71414.36313	2073.5343486
ERR188029	HLA-B	100188.54854	3053.896014
ERR188029	HLA-C	44873.8303	1649.16348
ERR188029	HLA-DMA	4901.73944	151.538602
ERR188029	HLA-DMB	3885.2664999999997	89.40784000000001
ERR188029	HLA-DOA	3523.98103	40.833788999999996
ERR188029	HLA-DOB	996.3581	26.70065
ERR188029	HLA-DPA1	30701.99408	708.0208269999999
ERR188029	HLA-DPB1	10351.363899999998	316.300352
ERR188029	HLA-DQA1	17458.7319	528.921871
ERR188029	HLA-DQB1	12410.411900000001	319.039758
ERR188029	HLA-DRA	63322.953	1806.8958
ERR188029	HLA-DRB1	20525.960000000003	630.816
ERR188029	HLA-DRB5	11885.8	332.954
ERR188029	HLA-E	26189.815599999998	380.72508
ERR188029	HLA-F	6371.7612279725	318.66203409666997
ERR188029	HLA-G	125.4495000325725	4.156090000970462
ERR188031	HLA-A	40353.34401	2908.729889
ERR188031	HLA-B	37512.08208	2821.64038
ERR188031	HLA-C	21815.66535	2065.822562
ERR188031	HLA-DMA	2269.8108	157.40637999999998
ERR188031	HLA-DMB	1199.1412	66.94695
ERR188031	HLA-DOA	1097.99855	27.445517
ERR188031	HLA-DOB	354.6112	21.73487
ERR188031	HLA-DPA1	10732.0471	539.55039
ERR188031	HLA-DPB1	4150.094520000001	285.3994
ERR188031	HLA-DQA1	7809.2276	591.85683
ERR188031	HLA-DQB1	6212.27015	533.195624
ERR188031	HLA-DRA	25813.0159	1710.582729
ERR188031	HLA-DRB1	10019.76	774.659
ERR188031	HLA-DRB5	4013.86	269.001
ERR188031	HLA-E	11178.9387	385.44786
ERR188031	HLA-F	2483.85587	400.552789
ERR188031	HLA-G	252.0176411005	21.5514320810449
ERR188032	HLA-A	50620.8221	1531.460138
ERR188032	HLA-B	80635.44959999999	2563.20232
ERR188032	HLA-C	36298.1318	1174.76444
ERR188032	HLA-DMA	5952.859799999999	254.05985900000002
ERR188032	HLA-DMB	3166.8232000000003	107.63806000000001
ERR188032	HLA-DOA	4902.99802	74.56125899999999
ERR188032	HLA-DOB	1102.26332	42.407183
ERR188032	HLA-DPA1	26835.648066499998	812.8093943
ERR188032	HLA-DPB1	13809.3048	512.903563
ERR188032	HLA-DQA1	23841.51275	949.3913819999999
ERR188032	HLA-DQB1	17259.588929999998	744.740918
ERR188032	HLA-DRA	69659.038	2768.2866
ERR188032	HLA-DRB1	33921.032999999996	1349.6052
ERR188032	HLA-DRB5	11688.9	449.116
ERR188032	HLA-E	24854.5305	450.14677
ERR188032	HLA-F	6308.4929600000005	303.18109699999997
ERR188032	HLA-G	79.1576	3.0452
ERR188033	HLA-A	50188.672640000004	1672.2912821
ERR188033	HLA-B	71265.4478	2501.909545
ERR188033	HLA-C	46239.85594	1641.941579
ERR188033	HLA-DMA	3436.00144113346	170.7814530794401
ERR188033	HLA-DMB	2672.9981	108.95215
ERR188033	HLA-DOA	3006.0049900000004	54.86198
ERR188033	HLA-DOB	433.5588	20.027880000000003
ERR188033	HLA-DPA1	17962.9557	666.9538699999999
ERR188033	HLA-DPB1	7984.99539	334.09024100000005
ERR188033	HLA-DQA1	16985.76241	832.978217
ERR188033	HLA-DQB1	15164.564620000001	687.487749
ERR188033	HLA-DRA	43522.007000000005	2154.6133
ERR188033	HLA-DRB1	15936.04	760.4798000000001
ERR188033	HLA-DRB5	8298.19	372.667
ERR188033	HLA-E	23297.137000000002	479.1777
ERR188033	HLA-F	4716.56405	266.375968
ERR188033	HLA-G	80.193	3.8639900000000003
ERR188034	HLA-A	28671.29565	1941.026215
ERR188034	HLA-B	46579.64873	3191.096758
ERR188034	HLA-C	28447.6051	2383.0420799999997
ERR188034	HLA-DMA	2510.00027	168.177351
ERR188034	HLA-DMB	1210.00024	67.818291
ERR188034	HLA-DOA	1090.0002399999998	27.020736
ERR188034	HLA-DOB	327.44244000000003	18.724316
ERR188034	HLA-DPA1	11278.998599999999	525.55306
ERR188034	HLA-DPB1	4517.99816	306.669804
ERR188034	HLA-DQA1	11109.001699999999	723.893561
ERR188034	HLA-DQB1	6182.7376	501.5073
ERR188034	HLA-DRA	26472.002989999997	1598.233363
ERR188034	HLA-DRB1	16457.01	1113.01
ERR188034	HLA-DRB5	3319.16	205.655
ERR188034	HLA-E	12382.609419999999	385.41231999999997
ERR188034	HLA-F	3217.26836	431.331122
ERR188034	HLA-G	138.50034	11.157293
ERR188035	HLA-A	61443.363399999995	1680.808302
ERR188035	HLA-B	86048.854	2503.866742
ERR188035	HLA-C	40969.0923	1238.9667200000001
ERR188035	HLA-DMA	3233.00112	120.639584
ERR188035	HLA-DMB	2656.99892	78.157375
ERR188035	HLA-DOA	1797.99867	23.051413
ERR188035	HLA-DOB	443.20225	14.232112
ERR188035	HLA-DPA1	14930.5683	375.96488
ERR188035	HLA-DPB1	7909.46784	300.40265800000003
ERR188035	HLA-DQA1	8043.91275	331.91176
ERR188035	HLA-DQB1	5151.1918	211.43523000000002
ERR188035	HLA-DRA	47835.961	1620.1213500000001
ERR188035	HLA-DRB1	14334.59	574.3199999999999
ERR188035	HLA-DRB5	3825.5	128.233
ERR188035	HLA-E	21461.205299999998	341.05674
ERR188035	HLA-F	8122.209870000001	350.483697
ERR188035	HLA-G	12.037289999999999	0.40248799999999996
ERR188036	HLA-A	53951.668990000006	2255.324468
ERR188036	HLA-B	65685.363	2886.2199
ERR188036	HLA-C	34983.85019	1668.577816
ERR188036	HLA-DMA	4905.67055	183.67130799999998
ERR188036	HLA-DMB	3319.334	91.76597
ERR188036	HLA-DOA	3655.9952000000003	51.9856
ERR188036	HLA-DOB	788.04656	26.31345
ERR188036	HLA-DPA1	33599.734000000004	970.4621099999999
ERR188036	HLA-DPB1	11976.22611	512.1979739999999
ERR188036	HLA-DQA1	19036.410200000002	783.90724
ERR188036	HLA-DQB1	16810.5184	675.900769
ERR188036	HLA-DRA	76442.982	2735.3750999999997
ERR188036	HLA-DRB1	26437.46	1076.9360000000001
ERR188036	HLA-DRB5	14992	548.085
ERR188036	HLA-E	31223.1129	600.1411
ERR188036	HLA-F	5713.09297	458.439201
ERR188036	HLA-G	107.2244	4.92987
ERR188038	HLA-A	35381.03612	1391.994746
ERR188038	HLA-B	54866.620599999995	2272.1931600000003
ERR188038	HLA-C	35571.502440000004	1522.747777
ERR188038	HLA-DMA	2278.00457	126.53419
ERR188038	HLA-DMB	1821.996605714	79.9704303925
ERR188038	HLA-DOA	3070.00034	60.783707
ERR188038	HLA-DOB	651.1774700000001	33.071662
ERR188038	HLA-DPA1	19597.036900000003	785.32547
ERR188038	HLA-DPB1	8538.618120000001	397.1323
ERR188038	HLA-DQA1	20153.0181	989.48951
ERR188038	HLA-DQB1	9071.31276	498.687354
ERR188038	HLA-DRA	51782.985	2731.08025
ERR188038	HLA-DRB1	29394.760000000002	1568.2640000000001
ERR188038	HLA-DRB5	3446.75	172.275
ERR188038	HLA-E	16737.812100000003	389.72999999999996
ERR188038	HLA-F	3837.02128	251.361543
ERR188038	HLA-G	56.942159999999994	3.163924
ERR188039	HLA-A	73809.4473	2061.696413
ERR188039	HLA-B	69712.0786	2055.02711
ERR188039	HLA-C	46132.8508	1423.0864800000002
ERR188039	HLA-DMA	5904.00188	228.317087
ERR188039	HLA-DMB	3671.9961000000003	108.70049900000001
ERR188039	HLA-DOA	4205.99887	55.837944
ERR188039	HLA-DOB	1072.80094	35.156359
ERR188039	HLA-DPA1	33366.0347	854.8775499999999
ERR188039	HLA-DPB1	13662.76228	442.79055200000005
ERR188039	HLA-DQA1	19720.26746	850.213697
ERR188039	HLA-DQB1	17312.94006	786.965747
ERR188039	HLA-DRA	80800.95790000001	2835.04642
ERR188039	HLA-DRB1	28555.199999999997	1090.7640000000001
ERR188039	HLA-DRB5	12195.2	414.189
ERR188039	HLA-E	20174.186	323.65091
ERR188039	HLA-F	5860.7916	253.00275
ERR188039	HLA-G	185.58617999999998	6.51565
ERR188040	HLA-A	56069.75682	1880.8362120000002
ERR188040	HLA-B	68180.97773999999	2434.381781
ERR188040	HLA-C	38871.5688	1399.6995499999998
ERR188040	HLA-DMA	2086.9959	102.79727899999999
ERR188040	HLA-DMB	1697.0016	63.68699
ERR188040	HLA-DOA	1677.0037	30.059261999999997
ERR188040	HLA-DOB	404.04317799999995	17.7271116
ERR188040	HLA-DPA1	12074.028100000001	408.99419
ERR188040	HLA-DPB1	5799.90392	246.20528099999999
ERR188040	HLA-DQA1	6578.1875	311.058543
ERR188040	HLA-DQB1	2785.56253	157.309775
ERR188040	HLA-DRA	31074.9819	1459.27826
ERR188040	HLA-DRB1	17717.95	834.767
ERR188040	HLA-DRB5	2391.33	105.373
ERR188040	HLA-E	19340.8345	384.99791000000005
ERR188040	HLA-F	5157.88756	308.546029
ERR188040	HLA-G	38.97955	1.559372
ERR188041	HLA-A	101137.51894	2835.5781438999998
ERR188041	HLA-B	92911.777	2801.6311
ERR188041	HLA-C	40794.74098	1364.438546
ERR188041	HLA-DMA	6581.001429999999	192.733944
ERR188041	HLA-DMB	3935.0007	94.76123
ERR188041	HLA-DOA	4270.99878	46.975375
ERR188041	HLA-DOB	571.0219	14.926849999999998
ERR188041	HLA-DPA1	33895.956600000005	709.05564
ERR188041	HLA-DPB1	11990.9687	388.859883
ERR188041	HLA-DQA1	19220.9695	625.15661
ERR188041	HLA-DQB1	16503.7028	538.0114599999999
ERR188041	HLA-DRA	73561.01000000001	2054.1635
ERR188041	HLA-DRB1	24758.03	790.175
ERR188041	HLA-DRB5	17987.7	518.769
ERR188041	HLA-E	28359.2281	409.42323
ERR188041	HLA-F	7160.9565999999995	361.70430500000003
ERR188041	HLA-G	154.19858	5.1861261999999995
ERR188043	HLA-A	89530.2407728	2076.9650063634
ERR188043	HLA-B	97767.68549999999	2462.03262
ERR188043	HLA-C	64977.0042	1845.32518
ERR188043	HLA-DMA	5955.00107	176.02758649999998
ERR188043	HLA-DMB	3113.0021	66.00529999999999
ERR188043	HLA-DOA	3647.99502	41.005598
ERR188043	HLA-DOB	924.00187	24.182705000000002
ERR188043	HLA-DPA1	30428.590699999997	678.26136
ERR188043	HLA-DPB1	12055.62376	318.391738
ERR188043	HLA-DQA1	27025.7559	809.0462
ERR188043	HLA-DQB1	19265.874920000002	576.9330100000001
ERR188043	HLA-DRA	63822.965	1816.1358500000001
ERR188043	HLA-DRB1	35382.03	1000.299
ERR188043	HLA-DRB5	6143.47	162.618
ERR188043	HLA-E	38388.060000000005	498.89671
ERR188043	HLA-F	7617.903799999999	278.00993
ERR188043	HLA-G	275.06063	8.4740294
ERR188045	HLA-A	73058.94863	2695.536445
ERR188045	HLA-B	62128.636	2460.4564
ERR188045	HLA-C	24428.49289	1092.783306
ERR188045	HLA-DMA	3369.00013	128.151324
ERR188045	HLA-DMB	2702.0005	74.643593
ERR188045	HLA-DOA	3451.00129	52.079896
ERR188045	HLA-DOB	850.00181	29.102183999999998
ERR188045	HLA-DPA1	28183.9016	839.55575
ERR188045	HLA-DPB1	8246.332	297.428627
ERR188045	HLA-DQA1	22562.1959	944.32917
ERR188045	HLA-DQB1	9858.31202	471.151412
ERR188045	HLA-DRA	73559.012	2734.8518999999997
ERR188045	HLA-DRB1	30547.18	1159.0645
ERR188045	HLA-DRB5	12234.7	434.509
ERR188045	HLA-E	26112.1757	475.96995
ERR188045	HLA-F	6405.0237	454.211881
ERR188045	HLA-G	144.5213	6.378756
ERR188046	HLA-A	53733.05213	1620.1292170000002
ERR188046	HLA-B	71973.9656	2317.1873
ERR188046	HLA-C	31707.26492	1043.197528
ERR188046	HLA-DMA	3458.95989	160.119435
ERR188046	HLA-DMB	2070.1935200000003	75.834305
ERR188046	HLA-DOA	2743.99868	49.67
ERR188046	HLA-DOB	493.32299	20.794688999999998
ERR188046	HLA-DPA1	19957.015	655.0816
ERR188046	HLA-DPB1	6679.99613	245.96599799999998
ERR188046	HLA-DQA1	15045.485200000001	747.77888
ERR188046	HLA-DQB1	5607.7585	344.60858
ERR188046	HLA-DRA	49203.987	2135.57672
ERR188046	HLA-DRB1	23380.82	1002.772
ERR188046	HLA-DRB5	6056.12	243.849
ERR188046	HLA-E	25535.352700000003	469.23461000000003
ERR188046	HLA-F	5165.3471	256.211231
ERR188046	HLA-G	73.5906	3.162612
ERR188047	HLA-A	88465.5606	2466.3888199999997
ERR188047	HLA-B	113894.5526	3349.7701389999997
ERR188047	HLA-C	49730.1086	1620.0781900000002
ERR188047	HLA-DMA	6571.85707	200.265918
ERR188047	HLA-DMB	4414.392	100.33294
ERR188047	HLA-DOA	5059.001899999999	63.255753
ERR188047	HLA-DOB	2390.9742300000003	64.770878
ERR188047	HLA-DPA1	42508.3872	905.41225
ERR188047	HLA-DPB1	28216.14623	1000.2076509999999
ERR188047	HLA-DQA1	30377.2525	1022.097388
ERR188047	HLA-DQB1	20457.74269	631.42331
ERR188047	HLA-DRA	120314.2284	3501.42575
ERR188047	HLA-DRB1	42167.45	1346.2930000000001
ERR188047	HLA-DRB5	13332.7	376.65
ERR188047	HLA-E	35436.457899999994	508.99749
ERR188047	HLA-F	8592.04003	417.190022
ERR188047	HLA-G	298.85552	9.476993
ERR188048	HLA-A	48883.23915	1283.188567
ERR188048	HLA-B	58009.1641	1624.797326
ERR188048	HLA-C	35022.035449999996	1004.39011
ERR188048	HLA-DMA	6599.0001	242.28427000000002
ERR188048	HLA-DMB	3145.9990000000003	92.395062
ERR188048	HLA-DOA	4736.002109999999	62.186085999999996
ERR188048	HLA-DOB	1729.61303	58.273038
ERR188048	HLA-DPA1	27074.9856	675.72961
ERR188048	HLA-DPB1	18910.77906	632.56592
ERR188048	HLA-DQA1	16476.6815	518.5717099999999
ERR188048	HLA-DQB1	10302.910520000001	473.06583
ERR188048	HLA-DRA	88813.009	3082.20345
ERR188048	HLA-DRB1	24551.11	902.215
ERR188048	HLA-DRB5	6136.9	201.55
ERR188048	HLA-E	16100.229299999999	241.05870000000002
ERR188048	HLA-F	3090.0558118	123.56065352
ERR188048	HLA-G	101.56360000000001	3.606205
ERR188049	HLA-A	71794.08931	2033.743228
ERR188049	HLA-B	74992.0551	2369.7705300000002
ERR188049	HLA-C	32159.49433	996.428791
ERR188049	HLA-DMA	9449.002199999999	415.62698
ERR188049	HLA-DMB	3313.9973	107.15396
ERR188049	HLA-DOA	4269.00222	57.252061
ERR188049	HLA-DOB	1266.9982	50.003692
ERR188049	HLA-DPA1	22122.00432	645.314618
ERR188049	HLA-DPB1	18818.52332	597.651356
ERR188049	HLA-DQA1	22129.969	745.842173
ERR188049	HLA-DQB1	14908.08289	845.6305940000001
ERR188049	HLA-DRA	84087.053	3451.9957999999997
ERR188049	HLA-DRB1	44785.73	1789.26
ERR188049	HLA-DRB5	15009.1	568.041
ERR188049	HLA-E	18681.318499999998	305.82606000000004
ERR188049	HLA-F	6032.42433	266.546943
ERR188049	HLA-G	88.9622	3.0501810000000003
ERR188050	HLA-A	63796.06919	2091.339945
ERR188050	HLA-B	76904.9966	2686.5849200000002
ERR188050	HLA-C	48319.1408	1772.3114899999998
ERR188050	HLA-DMA	3576.9395099999997	149.598433
ERR188050	HLA-DMB	2297.126033	72.53918112
ERR188050	HLA-DOA	3036.00277	47.395224999999996
ERR188050	HLA-DOB	407.26482	14.891210000000001
ERR188050	HLA-DPA1	25684.66811	749.214876
ERR188050	HLA-DPB1	8231.97858	307.781156
ERR188050	HLA-DQA1	15355.95498	663.640831
ERR188050	HLA-DQB1	10484.095070000001	489.594895
ERR188050	HLA-DRA	58922.049999999996	2234.6601
ERR188050	HLA-DRB1	17471.489999999998	746.982
ERR188050	HLA-DRB5	9293.13	356.574
ERR188050	HLA-E	23284.991700000002	430.8526
ERR188050	HLA-F	6010.80302	297.801811
ERR188050	HLA-G	130.35451	5.368946
ERR188051	HLA-A	33645.366072	1407.9700552
ERR188051	HLA-B	47209.894609999996	2117.85685
ERR188051	HLA-C	19126.94531	878.42324
ERR188051	HLA-DMA	4751.00438	302.03995399999997
ERR188051	HLA-DMB	2715.004	133.59593999999998
ERR188051	HLA-DOA	3340.99596	70.253166
ERR188051	HLA-DOB	1230.5369	69.31054999999999
ERR188051	HLA-DPA1	16538.027720000002	695.3539999999999
ERR188051	HLA-DPB1	11015.92094	527.62371
ERR188051	HLA-DQA1	22765.930999999997	1224.35352
ERR188051	HLA-DQB1	13893.33928	730.030173
ERR188051	HLA-DRA	66624.03099999999	3890.7861
ERR188051	HLA-DRB1	30009.01	1778.5439999999999
ERR188051	HLA-DRB5	3400.69	187.794
ERR188051	HLA-E	9806.484	235.30539
ERR188051	HLA-F	2664.6667700000003	184.122412
ERR188051	HLA-G	18.07159	0.954712
ERR188052	HLA-A	45729.01091	1183.9233378
ERR188052	HLA-B	65712.5211	1808.833888
ERR188052	HLA-C	45431.216	1273.7225130000002
ERR188052	HLA-DMA	3484.0006500000004	133.932582
ERR188052	HLA-DMB	1779.9975	53.409923
ERR188052	HLA-DOA	3649.00315	55.365217
ERR188052	HLA-DOB	544.46857	19.327528
ERR188052	HLA-DPA1	19193.154599999998	539.06784
ERR188052	HLA-DPB1	10289.60056	361.082141
ERR188052	HLA-DQA1	15968.620850000001	590.012699
ERR188052	HLA-DQB1	8944.4283	338.2058
ERR188052	HLA-DRA	53234.022000000004	1927.108
ERR188052	HLA-DRB1	26742.069	963.3764
ERR188052	HLA-DRB5	8798.18	300.365
ERR188052	HLA-E	19667.8236	306.96954999999997
ERR188052	HLA-F	3414.61388	132.481189
ERR188052	HLA-G	74.9651	2.564092
ERR188053	HLA-A	34983.2129	2377.15096
ERR188053	HLA-B	38071.295	2521.1393
ERR188053	HLA-C	13657.638700000001	1381.954458
ERR188053	HLA-DMA	2756.9964	141.00017
ERR188053	HLA-DMB	1579.0008	65.23283
ERR188053	HLA-DOA	2609.00024	49.878968
ERR188053	HLA-DOB	511.32326	23.316922
ERR188053	HLA-DPA1	19249.3925	805.4594400000001
ERR188053	HLA-DPB1	5096.683819999999	281.36769799999996
ERR188053	HLA-DQA1	15098.742390532312	846.4393620328706
ERR188053	HLA-DQB1	8061.32893	440.623754
ERR188053	HLA-DRA	45039.0027	2163.35432
ERR188053	HLA-DRB1	20168.73	1169.466
ERR188053	HLA-DRB5	5290.66	267.795
ERR188053	HLA-E	15178.846300000001	444.53294999999997
ERR188053	HLA-F	2334.95449	333.5744
ERR188053	HLA-G	93.22198999999999	7.108223
ERR188054	HLA-A	52607.566719999995	1847.9047190000001
ERR188054	HLA-B	71266.7774	2597.22219
ERR188054	HLA-C	34004.97819	1537.8657799999999
ERR188054	HLA-DMA	3692.88888	125.367149
ERR188054	HLA-DMB	2740.01252	73.758978
ERR188054	HLA-DOA	2539.00368	32.388768999999996
ERR188054	HLA-DOB	384.19350000000003	11.529754
ERR188054	HLA-DPA1	26552.4533	626.4963
ERR188054	HLA-DPB1	10113.567	375.51037599999995
ERR188054	HLA-DQA1	16838.9588	533.723935
ERR188054	HLA-DQB1	15098.904799999998	644.753995
ERR188054	HLA-DRA	65150.008499999996	2039.3031529999998
ERR188054	HLA-DRB1	20147.170000000002	745.586
ERR188054	HLA-DRB5	3879.82	124.998
ERR188054	HLA-E	23079.5511	388.73697
ERR188054	HLA-F	5488.99336	344.28351299999997
ERR188054	HLA-G	170.7336	6.9178120000000005
ERR188056	HLA-A	124385.72035	2895.5461450000003
ERR188056	HLA-B	116435.9511	2831.03944
ERR188056	HLA-C	74279.65269999999	1851.09623
ERR188056	HLA-DMA	3728.83982	122.915803
ERR188056	HLA-DMB	1581.3985	44.092690000000005
ERR188056	HLA-DOA	2494.99549	28.898235999999997
ERR188056	HLA-DOB	588.495	17.227510000000002
ERR188056	HLA-DPA1	17318.0565037	390.79802340000003
ERR188056	HLA-DPB1	8451.99419	238.7990709
ERR188056	HLA-DQA1	14742.90056	509.964724
ERR188056	HLA-DQB1	9737.656799999999	378.866232
ERR188056	HLA-DRA	54090.043600000005	1654.976621
ERR188056	HLA-DRB1	23816.41	762.786
ERR188056	HLA-DRB5	5124.71	151.696
ERR188056	HLA-E	43723.607299999996	599.22817
ERR188056	HLA-F	8379.95886	341.44304999999997
ERR188056	HLA-G	360.35677	11.6205628
ERR188057	HLA-A	77968.39706	2635.3391979999997
ERR188057	HLA-B	90352.1057	3089.1229000000003
ERR188057	HLA-C	43726.9556	2092.92051
ERR188057	HLA-DMA	5237.4938	157.034168
ERR188057	HLA-DMB	3630.2044	83.910399
ERR188057	HLA-DOA	4053.99706	44.986918
ERR188057	HLA-DOB	923.89149	24.206364999999998
ERR188057	HLA-DPA1	27230.981890000003	620.072494
ERR188057	HLA-DPB1	12715.16231	431.8132159
ERR188057	HLA-DQA1	12043.647200000001	505.818361
ERR188057	HLA-DQB1	12105.4355	468.413089
ERR188057	HLA-DRA	72188.0519	2051.6551619999996
ERR188057	HLA-DRB1	25481.07	884.0360000000001
ERR188057	HLA-DRB5	13884.2	396.133
ERR188057	HLA-E	30838.6443	478.72279
ERR188057	HLA-F	6682.17919	425.02493
ERR188057	HLA-G	223.6866	9.004449000000001
ERR188058	HLA-A	51693.58267	1874.5728470000001
ERR188058	HLA-B	60927.32944	2309.613413
ERR188058	HLA-C	24388.79525	984.568122
ERR188058	HLA-DMA	6255.99827	273.90349
ERR188058	HLA-DMB	3324.996	112.017826
ERR188058	HLA-DOA	4349.002759999999	62.800788000000004
ERR188058	HLA-DOB	1148.9969600000002	43.936623
ERR188058	HLA-DPA1	27916.04062	751.675487
ERR188058	HLA-DPB1	15263.6039	680.86307
ERR188058	HLA-DQA1	27600.989599999997	1232.7047599999999
ERR188058	HLA-DQB1	22484.462099999997	1180.65362
ERR188058	HLA-DRA	96523.03	3787.6241999999997
